net_benefit,lambda,r
-25636527.95,0.09999999999999998,0.03
-32751426.52,0.09999999999999998,0.1
-29417827.2,0.09999999999999998,0.2
65056694.2,0.9,0.03
7104551.033,0.9,0.1
-11156010.79,0.9,0.2
24630660.78,0.5,0.03
-12823437.74,0.5,0.1
-20286919.0,0.5,0.2
27356302.69,0.6,0.03
11283430.87,0.6,0.05
1164967.009,0.6,0.07
-14993632.49,0.6,0.15
-18004191.94,0.6,0.2
38848984.71,0.9,0.05
29660466.77,0.8,0.05
20471948.82,0.7,0.05
2094912.922,0.5,0.05
-7093605.026,0.4,0.05
-16282122.97,0.30000000000000004,0.05
-25470640.92,0.19999999999999996,0.05
-34659158.87,0.09999999999999998,0.05
-5387630.505,0.9,0.15
-7841440.548,0.6,0.1
12063863.59,0.4,0.03
2122553.842,0.8,0.1
