Year,Net benefit,Underground proportion
0,36677.25265,0.33837619
1,30315879.24,0.615192901
2,32355456.48,0.628131876
3,34076348.6,0.638340806
4,35703896.57,0.647805421
5,37169365.34,0.655162209
6,38392531.72,0.66054432
7,39536653.67,0.664131014
8,40385537.22,0.665551723
9,41215774.15,0.666589492
10,42024640.24,0.668061154
11,42919673.89,0.669129906
12,43692584.32,0.669219015
13,44432399.07,0.669219015
14,45222059.32,0.669219015
15,45968809.6,0.669219015
16,46740540.08,0.669219015
17,47548242.02,0.669219015
18,48320937.85,0.669219015
19,49160176.91,0.669219015
20,49965058.91,0.669219015
21,50740038.5,0.669219015
22,51540890.58,0.669219015
23,52356877.38,0.669219015
24,53188336.13,0.669219015
25,54051452.7,0.669219015
26,54848440.88,0.669219015
27,55887221.4,0.669219015
28,56894773.21,0.669219015
29,57974590.18,0.669219015
30,59045024.26,0.669219015
31,60042982.52,0.669219015
32,60920779.87,0.669219015
33,61967885.59,0.669219015
34,62902680.54,0.669219015
35,63783246.66,0.669219015
36,64625389.14,0.669219015
37,65406012.04,0.669219015
38,66143008.6,0.669219015
39,66886012.21,0.669219015
