,I_NN,I_NC,I_NA,I_CN,I_AN,J_CC,I_CC,J_AA,I_AA
year 0,36677.25265,36677.25265,36677.25265,36677.25265,36677.25265,36677.25265,36677.25265,36677.25265,36677.25265
year 1,272047.9925,1007576.851,13438718.74,2037920.925,30315879.24,2265003.118,2773449.783,35578721.71,43482549.98
year 2,369643.6767,1222369.232,14577574.25,2360686.708,32355456.48,2644316.788,3213412.264,38285788.63,46563387.05
year 3,476612.9437,1520570.203,15630779.31,2854776.237,34076348.6,3220257.092,3898733.496,40650940.92,49230514.97
year 4,619264.1198,1999575.477,16699387.34,3701110.353,35703896.57,4196707.081,5081421.71,42917533.05,51784019.79
year 5,784915.8869,2615960.728,17707523.75,4914437.572,37169365.34,5583035.391,6745482.414,44998560,54091973.19
year 6,967342.3188,3229882.941,18648545.31,5999507.949,38392531.72,6843719.483,8262048.571,46809940.48,56073734.71
year 7,1141248.776,3776746.224,19509003.8,6940956.793,39536653.67,7954092.296,9576454.241,48526984.57,57904408.69
year 8,1391558.899,4619013.906,20319604.3,8285595.96,40385537.22,9537662.691,11513050.97,49889443.54,59313582.62
year 9,1614828.73,5551668.944,21097904.08,9919836.099,41215774.15,11459913.86,13856676.31,51240523.42,60698849.5
year 10,1860810.554,6447834.299,21917084.77,11560119.26,42024640.24,13389331.02,16147143.01,52570980.38,62080914.46
year 11,2151879.755,7606857.357,22747853.84,13678611.48,42919673.89,15872889.85,19133589.08,53969637.95,63515647.98
year 12,2560737.447,9114941.643,23604745.07,16483696.75,43692584.32,19129120.05,23037900.94,55187572.82,64736591.95
year 13,2925416.551,10619850.06,24428535.47,19135493.42,44432399.07,22261076.72,26829926.93,56386498.87,65935517.99
year 14,3430367.281,12427869.19,25343700.91,22505447.46,45222059.32,26185915.67,31502949.36,57586373.83,67135392.95
year 15,3811305.312,13980591.21,26178731.52,25322347.78,45968809.6,29540406.96,35491633.68,58787216.69,68336235.81
year 16,4261600.922,15687483.99,27059126.76,28303460.58,46740540.08,33101472.18,39729343.65,59989046.8,69538065.92
year 17,4812420.734,17734813.07,28005081.75,32140832.34,47548242.02,37615032.45,45063224.68,61191883.91,70740903.04
year 18,5261794.251,19404116.25,28885623.69,34941622.14,48320937.85,41028482.09,49083944.14,62395748.17,71944767.29
year 19,5898617.831,21696028.68,29888120.15,39056062,49160176.91,45904807.48,54853472.85,63600660.1,73149679.23
year 20,6435820.397,23560206.36,30826421.29,42291103.97,49965058.91,49831622.77,59415489.93,64806640.68,74355659.8
year 21,6886001.85,25068696.08,31708693.73,44647203.61,50740038.5,52816300.55,62829897.83,66013711.26,75562730.38
year 22,7407737.265,26853275.9,32637759.46,47729763.51,51540890.58,56606302.07,67175302.15,67221893.65,76770912.78
year 23,7970678.872,28545565.76,33594030.71,50387589.05,52356877.38,59944755.96,70962475.94,68431210.09,77980229.22
year 24,8575634.46,30262569.66,34578000.71,52926154.22,53188336.13,63169032.28,74613089.41,69641683.26,79190702.38
year 25,9268805.055,31958610.22,35619707.77,55310667.07,54051452.7,66219214.33,78000472.23,70853336.28,80402355.41
year 26,9771271.864,33353080.76,36538042.87,57148314.16,54848440.88,68695687.88,80730123.05,72066192.77,81615211.89
year 27,10285956.02,34653759.7,37592623.38,58897792.81,55887221.4,71062313.29,83265596.49,73644869.65,83193888.77
year 28,10748782.84,35764093.67,38606558.82,60135058.93,56894773.21,72877670.58,85150369.76,75203530.06,84752549.19
year 29,11280309.67,36921412.78,39691132.03,61428747.46,57974590.18,74746351.32,87069850.58,76836393.42,86385412.55
year 30,11807105.57,38108547.32,40768445.84,62667395.18,59045024.26,76568650.88,88968836.92,78457345.41,88006364.53
year 31,12257518.28,39194013.87,41771500.22,63936401.22,60042982.52,78419103.82,90872896.81,80007945.34,89556964.46
year 32,12577555.34,40079281.75,42649730.97,64841261.31,60920779.87,79884723.37,92342987.72,81443936.37,90992955.49
year 33,13065951.32,41126387.47,43696836.69,65888367.03,61967885.59,81490538.83,93948803.19,83049751.83,92598770.96
year 34,13442036.53,42061182.42,44631631.64,66823161.98,62902680.54,82984043.52,95442307.88,84543256.52,94092275.65
year 35,13763892.91,42941748.55,45512197.76,67703728.1,63783246.66,84423319.39,96881583.74,85982532.39,95531551.51
year 36,14047325.65,43783891.02,46354340.24,68545870.58,64625389.14,85824171.61,98282435.96,87383384.61,96932403.73
year 37,14269238.81,44564513.92,47134963.14,69326493.48,65406012.04,87163504.25,99621768.6,88722717.25,98271736.37
year 38,14447525.63,45301510.48,47871959.7,70063490.04,66143008.6,88459210.55,100917474.9,90018423.55,99567442.67
year 39,14631819.5,46044514.1,48614963.31,70806493.66,66886012.21,89760923.9,102219188.3,91320136.9,100869156
