Strategy,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el,lifecycle_infrastructure_br,environmental_restoration_br,safety_br,total_cost_br,,lifecycle_infrastructure_el,environmental_restoration_el,safety_el,total_cost_el
S1,3435097.853,0,1119612.731,4554710.585,1860580.314,0,1119612.731,2980193.045,,5295678.167,0,2239225.463,7534903.63
S2,3435097.853,0,1119612.731,4554710.585,23373199.61,1628934.182,2090884.313,27093018.11,,26808297.46,1628934.182,3210497.044,31647728.69
S3,3435097.853,0,1119612.731,4554710.585,33116909.4,3175315.301,3032409.344,39324634.05,,36552007.26,3175315.301,4152022.075,43879344.63
S4,24458383.27,1628934.182,2090884.313,28178201.77,1860580.314,0,1119612.731,2980193.045,,26318963.59,1628934.182,3210497.044,31158394.81
S5,34288080.38,3175315.301,3032409.344,40495805.03,1860580.314,0,1119612.731,2980193.045,,36148660.69,3175315.301,4152022.075,43475998.07
S6,24944550.54,1628934.182,2090884.313,28664369.04,4589464.198,1628934.182,2090884.313,8309282.693,,29534014.74,3257868.364,4181768.625,36973651.73
S7,24458383.27,1628934.182,2090884.313,28178201.77,23373199.61,1628934.182,2090884.313,27093018.11,,47831582.88,3257868.364,4181768.625,55271219.87
S8,24944550.54,1628934.182,2090884.313,28664369.04,2671945.048,1628934.182,2090884.313,6391763.543,,27616495.59,3257868.364,4181768.625,35056132.58
S9,24458383.27,1628934.182,2090884.313,28178201.77,10589738.61,1628934.182,2090884.313,14309557.1,,35048121.88,3257868.364,4181768.625,42487758.87
S10,34986404.81,3175315.301,3032409.344,41194129.45,6136192.977,3175315.301,3032409.344,12343917.62,,41122597.78,6350630.602,6064818.688,53538047.07
S11,34288080.38,3175315.301,3032409.344,40495805.03,33116909.4,3175315.301,3032409.344,39324634.05,,67404989.78,6350630.602,6064818.688,79820439.07
S12,34986404.81,3175315.301,3032409.344,41194129.45,3375031.585,3175315.301,3032409.344,9582756.23,,38361436.39,6350630.602,6064818.688,50776885.68
S13,34288080.38,3175315.301,3032409.344,40495805.03,14709166.79,3175315.301,3032409.344,20916891.43,,48997247.17,6350630.602,6064818.688,61412696.46
