year,net benefit,under_proportion,devided
0,-161806.8333,0.33837619,-478186.2266
1,-122613504.7,0.356212685,-344214313.1
2,-122354096.4,0.358287737,-341496746.5
3,-122403383,0.361957561,-338170537.4
4,-122524677.1,0.36873995,-332279366.7
5,-122612500.8,0.377764229,-324574142.4
6,-122615637.2,0.385862755,-317770076.4
7,-122577963.7,0.392206068,-312534593
8,-122760521.9,0.402850326,-304729856.1
9,-122807916.4,0.415370542,-295658704.2
10,-122795916.2,0.425976383,-288269305.8
11,-122945475.6,0.440412403,-279159884.7
12,-123150528.1,0.458687587,-268484545.2
13,-123144923,0.476834417,-258255106
14,-123325673.5,0.497149999,-248065320
15,-123188391.3,0.513999243,-239666484.1
16,-123284703.6,0.53158291,-231919990.9
17,-123475318,0.552614234,-223438540.5
18,-123301221,0.567775917,-217165288.9
19,-123632540.2,0.589721102,-209645779.5
20,-123450054.3,0.605059343,-204029663.9
21,-123307298.7,0.615192901,-200436803.5
22,-123463795,0.628131876,-196557124
23,-123457499.7,0.638340806,-193403740.6
24,-123501630.8,0.647805421,-190646183.1
25,-123532810.3,0.655162209,-188553015.8
26,-123415383.6,0.66054432,-186838914.2
27,-123409288,0.664131014,-185820697.2
28,-123359115.8,0.665551723,-185348653.7
29,-123414931.8,0.666589492,-185143830.4
30,-123455441,0.668061154,-184796616.6
31,-123441505.5,0.669129906,-184480628.4
32,-123389849.3,0.669219015,-184378875.2
33,-123500637.2,0.669219015,-184544423.2
34,-123486863.2,0.669219015,-184523841.1
35,-123502595.7,0.669219015,-184547349.9
36,-123528236.4,0.669219015,-184585664.2
37,-123547073.8,0.669219015,-184613812.5
38,-123576702.6,0.669219015,-184658086.2
39,-123629627.7,0.669219015,-184737171.1
